filename, language, TypeScript, CSS, HTML, comment, blank, total
afs.service.spec.ts, TypeScript, 9, 0, 0, 0, 4, 13
afs.service.ts, TypeScript, 37, 0, 0, 0, 9, 46
meal.component.css, CSS, 0, 14, 0, 0, 9, 23
meal.component.html, HTML, 0, 0, 43, 2, 1, 46
meal.component.spec.ts, TypeScript, 43, 0, 0, 2, 8, 53
meal.component.ts, TypeScript, 38, 0, 0, 0, 10, 48
meal.service.spec.ts, TypeScript, 128, 0, 0, 28, 26, 182
meal.service.ts, TypeScript, 60, 0, 0, 26, 14, 100
meal.services.spec.ts, TypeScript, 88, 0, 0, 9, 20, 117
meal.ts, TypeScript, 5, 0, 0, 0, 1, 6
Total, -, 408, 14, 43, 67, 102, 634